Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
ESH5.CME-UNB@TM.Pro,5554,Elvis,#000066,#1edaa2,left,TRUE,FALSE,,,,
ESH5.CME-UNB@TM.Pro,5552,Elvis,#1a0909,#1edaa2,left,TRUE,FALSE,,,,
ESH5.CME-UNB@TM.Pro,6165.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6155.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6150.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6144.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6132.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6126.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6122.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6119.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6111.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6100.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6100.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6095.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6085.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6062.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6052.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6041.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6030.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6023.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6015.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6004.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,6000.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5980.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5968.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5960.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5933.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5908.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5903.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5895.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5883.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5876.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5869.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5864.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5857.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5838.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5824.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5815.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5811.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5808.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5791.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5787.0,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5777.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5772.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5720.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5630.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5627.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5446.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5373.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5365.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5351.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5343,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5336.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5320,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5278.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5231.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5206,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5227.75,ED Lo area,#ffffff,#1395ba,center,TRUE,FALSE,,,,
ESH5.CME-UNB@TM.Pro,5390,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5417.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5431,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5449,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5463.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5482.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5498.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5519,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5526.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5537.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5542.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5545.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5547.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5552.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5559.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5565,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5571.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5582,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5589.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5600,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5610,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5637.75,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5644.25,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5666.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH5.CME-UNB@TM.Pro,5684.25,mHVN,#ffffff,#da611e,left,,,,,,
